gene_a,gene_a.identifier,gene_b,gene_b.identifier,SL.cellline,pubmed_id,source,sl_score,sl,combined_score,reactome,corum,go_F,go_C,go_P,kegg,all,gene_a_encoder,gene_b_encoder
ERCC1,2067,WRAP53,55135,,3965078,Decipher,0.545,1,0.0,0,0,1,1,1,1,5,2580,9412
ERCC1,2067,MDM2,4193,,3965078,Decipher,0.53,1,325.0,0,0,2,2,0,1,4,2580,4742
ERCC1,2067,UNG,7374,,3965078,Decipher,0.5539999999999999,1,496.0,0,0,2,1,2,1,5,2580,9178
ERCC1,2067,MT1X,4501,,3965078,Decipher,0.5539999999999999,1,0.0,0,0,1,1,0,0,3,2580,5054
ERCC1,2067,KDR,3791,,3965078,Decipher,0.524,1,286.0,0,0,1,0,0,0,2,2580,4130
ERCC1,2067,RAD51,5888,,3965078,Decipher,0.536,1,986.0,5,0,3,3,5,2,6,2580,6803
ERCC1,2067,RELA,5970,,3965078,Decipher,0.56,1,0.0,0,0,2,2,0,0,3,2580,6963
ERCC1,2067,TNFRSF10B,8795,,3965078,Decipher,0.5479999999999999,1,173.0,0,0,1,0,0,0,2,2580,8718
ERCC1,2067,POLD4,57804,,3965078,Decipher,0.521,1,905.0,9,0,1,1,3,2,6,2580,6321
ERCC1,2067,GTF2H1,2965,,3965078,Decipher,0.539,1,975.0,7,0,1,1,7,2,6,2580,3398
ERCC1,2067,RPL13A,23521,,3965078,Decipher,0.491,1,0.0,0,0,0,1,0,0,2,2580,7162
CDKN1A,2067,ERCC1,1026,,29797327,textmining,0.2,1,265.0,0,0,1,1,1,1,5,1338,2580
ERCC1,2067,PARP2,10038,,3965078,Decipher,0.5539999999999999,1,948.0,7,0,2,1,1,1,6,2580,5841
ERCC1,2067,NHP2,55651,,3965078,Decipher,0.5479999999999999,1,451.0,0,0,1,2,0,0,3,2580,5381
ERCC1,2067,XRCC2,7516,,3965078,Decipher,0.5539999999999999,1,659.0,4,0,1,2,3,1,6,2580,9445
ERCC1,2067,POLD1,5424,,3965078,Decipher,0.524,1,949.0,9,0,3,3,4,2,6,2580,6318
ERCC1,2067,RRM1,6240,,3965078,Decipher,0.53,1,796.0,0,0,1,0,1,1,4,2580,7263
ERCC1,2067,RAD9A,5883,,3965078,Decipher,0.527,1,944.0,5,0,1,2,1,1,6,2580,6813
ERCC1,2067,USP1,7398,,3965078,Decipher,0.5479999999999999,1,943.0,2,0,1,1,1,2,6,2580,9197
ERCC1,2067,ZBTB32,27033,,3965078,Decipher,0.5479999999999999,1,0.0,0,0,2,1,0,0,3,2580,9504
ERCC1,2067,MAPK12,6300,,3965078,Decipher,0.536,1,0.0,0,0,1,2,0,0,3,2580,4650
GTF2H4,2968,KCTD10,83892,,31300006,CRISPR/CRISPRi,0.44,1,0.0,0,0,1,1,0,0,3,3400,4099
GTF2H4,2968,MRPS35,60488,,31300006,CRISPR/CRISPRi,0.01,1,0.0,0,0,0,0,0,0,0,3400,5023
GTF2H4,2968,WDR77,79084,,31300006,CRISPR/CRISPRi,0.14,1,0.0,1,0,1,2,0,0,4,3400,9383
GTF2H4,2968,TCF25,22980,,31300006,CRISPR/CRISPRi,0.07,1,0.0,0,0,1,1,0,0,3,3400,8420
GTF2H4,2968,TUBGCP5,114791,,31300006,CRISPR/CRISPRi,0.14,1,0.0,0,0,1,0,0,0,2,3400,9030
GTF2H4,2968,NAE1,8883,,23100467,GenomeRNAi,0.5,1,0.0,0,0,1,0,0,0,2,3400,5202
GTF2H4,2968,MRPL43,84545,,31300006,CRISPR/CRISPRi,0.04,1,0.0,0,0,1,0,0,0,2,3400,4991
GTF2H4,2968,RTF1,23168,,31300006,CRISPR/CRISPRi,0.18,1,900.0,5,0,1,1,2,1,6,3400,7290
GTF2H4,2968,NUP85,79902,,31300006,CRISPR/CRISPRi,0.27,1,0.0,7,0,1,1,0,0,4,3400,5604
GTF2H4,2968,NOL9,79707,,31300006,CRISPR/CRISPRi,0.05,1,0.0,1,0,1,2,0,0,4,3400,5447
GTF2H4,2968,NAMPT,10135,,31300006,CRISPR/CRISPRi,0.02,1,0.0,0,0,1,1,0,0,3,3400,5210
GTF2H4,2968,HSCB,150274,,31300006,CRISPR/CRISPRi,0.04,1,0.0,0,0,2,1,1,0,4,3400,3686
GTF2H4,2968,SPAG7,9552,,31300006,CRISPR/CRISPRi,0.28,1,0.0,0,0,1,1,0,0,3,3400,7991
GTF2H4,2968,MFAP1,4236,,31300006,CRISPR/CRISPRi,0.52,1,0.0,0,0,1,2,0,0,3,3400,4805
GTF2H4,2968,MED24,9862,,31300006,CRISPR/CRISPRi,0.12,1,0.0,3,0,1,2,1,1,6,3400,4766
GTF2H4,2968,MRPL42,28977,,31300006,CRISPR/CRISPRi,0.06,1,0.0,0,0,0,0,0,0,0,3400,4990
GTF2H4,2968,RNGTT,8732,,31300006,CRISPR/CRISPRi,0.28,1,912.0,12,0,1,2,2,0,5,3400,7124
GTF2H4,2968,TRMT5,57570,,31300006,CRISPR/CRISPRi,0.2,1,0.0,1,0,0,1,0,0,3,3400,8910
GTF2H4,2968,RPP38,10557,,31300006,CRISPR/CRISPRi,0.09,1,0.0,1,0,1,1,0,0,4,3400,7207
GTF2H4,2968,TBCB,1155,,31300006,CRISPR/CRISPRi,0.02,1,0.0,0,0,1,0,0,0,2,3400,8380
GTF2H4,2968,TFB1M,51106,,31300006,CRISPR/CRISPRi,0.05,1,343.0,1,0,1,0,0,0,3,3400,8469
GTF2H4,2968,MTBP,27085,,31300006,CRISPR/CRISPRi,0.0,1,0.0,0,0,0,0,0,0,0,3400,5060
GTF2H4,2968,TRNAU1AP,54952,,31300006,CRISPR/CRISPRi,0.16,1,0.0,0,0,1,1,0,0,3,3400,8915
GTF2H4,2968,PAXBP1,94104,,31300006,CRISPR/CRISPRi,0.09,1,0.0,0,0,0,1,0,0,2,3400,5857
GTF2H4,2968,REXO2,25996,,31300006,CRISPR/CRISPRi,0.32,1,0.0,0,0,0,1,0,0,2,3400,6979
GTF2H4,2968,RPLP2,6181,,31300006,CRISPR/CRISPRi,0.04,1,0.0,3,0,1,0,0,0,3,3400,7200
GTF2H4,2968,NSMCE4A,54780,,31300006,CRISPR/CRISPRi,0.01,1,0.0,0,0,1,2,1,1,5,3400,5539
GTF2H4,2968,MICOS10-NBL1,100532736,,31300006,CRISPR/CRISPRi,0.34,1,0.0,0,0,0,0,0,0,0,3400,4839
GTF2H4,2968,NAA50,80218,,31300006,CRISPR/CRISPRi,0.03,1,0.0,0,0,1,1,0,0,3,3400,5188
GTF2H4,2968,YTHDC1,91746,,31300006,CRISPR/CRISPRi,0.09,1,0.0,0,0,1,3,0,0,3,3400,9476
GTF2H4,2968,POLR2K,5440,,31300006,CRISPR/CRISPRi,0.3,1,996.0,44,2,1,2,8,2,7,3400,6351
GTF2H4,2968,MBTPS2,51360,,31300006,CRISPR/CRISPRi,0.15,1,0.0,0,0,0,0,0,0,0,3400,4708
GTF2H4,2968,MRPS27,23107,,31300006,CRISPR/CRISPRi,0.21,1,0.0,0,0,1,1,0,0,3,3400,5017
GTF2H4,2968,MED28,80306,,31300006,CRISPR/CRISPRi,0.18,1,0.0,0,0,1,1,0,1,4,3400,4769
GTF2H4,2968,RPL8,6132,,31300006,CRISPR/CRISPRi,0.19,1,0.0,3,0,1,0,0,0,3,3400,7196
GTF2H4,2968,MRPL37,51253,,31300006,CRISPR/CRISPRi,0.1,1,0.0,0,0,0,0,0,0,0,3400,4985
GTF2H4,2968,METTL17,64745,,31300006,CRISPR/CRISPRi,0.16,1,0.0,0,0,1,1,0,0,3,3400,4800
GTF2H4,2968,MRPS18B,28973,,31300006,CRISPR/CRISPRi,0.0,1,181.0,0,0,1,1,0,1,4,3400,5009
GTF2H4,2968,KIF11,3832,,31300006,CRISPR/CRISPRi,0.11,1,0.0,0,0,0,1,0,0,2,3400,4151
GTF2H4,2968,INTS3,65123,,31300006,CRISPR/CRISPRi,0.02,1,0.0,2,0,1,2,1,0,5,3400,3917
GTF2H4,2968,RAE1,8480,,31300006,CRISPR/CRISPRi,0.06,1,0.0,7,0,1,1,0,0,4,3400,6816
GTF2H4,2968,KDM1A,23028,,31300006,CRISPR/CRISPRi,0.0,1,0.0,2,0,1,2,0,0,4,3400,4116
GTF2H4,2968,MZT1,440145,,31300006,CRISPR/CRISPRi,0.48,1,0.0,0,0,1,0,0,0,2,3400,5175
GTF2H4,2968,TUBGCP3,10426,,31300006,CRISPR/CRISPRi,0.16,1,171.0,0,0,1,0,0,0,2,3400,9028
GTF2H4,2968,ZWINT,11130,,31300006,CRISPR/CRISPRi,0.14,1,0.0,0,0,1,1,0,0,3,3400,9868
GTF2H4,2968,PPWD1,23398,,31300006,CRISPR/CRISPRi,0.1,1,0.0,1,0,0,1,0,0,3,3400,6471
GTF2H4,2968,RPL13,6137,,31300006,CRISPR/CRISPRi,0.25,1,0.0,3,0,1,1,0,0,4,3400,7161
GTF2H4,2968,MRPS14,63931,,31300006,CRISPR/CRISPRi,0.23,1,153.0,0,0,1,0,0,0,2,3400,5004
GTF2H4,2968,NCAPD2,9918,,31300006,CRISPR/CRISPRi,0.16,1,0.0,0,0,1,2,0,0,3,3400,5234
GTF2H4,2968,PMF1,11243,,31300006,CRISPR/CRISPRi,0.18,1,0.0,0,0,1,1,1,0,4,3400,6282
GTF2H4,2968,PNN,5411,,31300006,CRISPR/CRISPRi,0.35,1,0.0,0,0,1,1,0,0,3,3400,6302
GTF2H4,2968,MYC,4609,,22623531,Text Mining,0.4,1,0.0,4,0,1,2,0,0,4,3400,5125
GTF2H4,2968,MRPL27,51264,,31300006,CRISPR/CRISPRi,0.32,1,0.0,0,0,1,0,0,0,2,3400,4977
GTF2H4,2968,RPL5,6125,,31300006,CRISPR/CRISPRi,0.21,1,0.0,3,0,1,2,0,0,4,3400,7193
GTF2H4,2968,NDUFB1,4707,,31300006,CRISPR/CRISPRi,0.12,1,0.0,0,0,0,1,0,0,2,3400,5289
GTF2H4,2968,RBM17,84991,,31300006,CRISPR/CRISPRi,0.14,1,158.0,1,0,1,1,1,0,5,3400,6904
GTF2H4,2968,PTTG1,9232,,31300006,CRISPR/CRISPRi,0.19,1,0.0,0,0,1,1,1,0,4,3400,6709
GTF2H4,2968,NACA,4666,,31300006,CRISPR/CRISPRi,0.25,1,0.0,0,0,0,1,0,0,2,3400,5197
GTF2H4,2968,PSMC1,5700,,31300006,CRISPR/CRISPRi,0.05,1,0.0,7,0,1,2,0,1,5,3400,6613
GTF2H4,2968,MED23,9439,,31300006,CRISPR/CRISPRi,0.1,1,0.0,3,0,1,1,1,1,6,3400,4765
GTF2H4,2968,NUP54,53371,,31300006,CRISPR/CRISPRi,0.15,1,0.0,7,0,1,0,0,0,3,3400,5600
GTF2H4,2968,POLR2B,5431,,31300006,CRISPR/CRISPRi,0.21,1,995.0,36,2,1,2,5,2,7,3400,6341
GTF2H4,2968,SKA3,221150,,31300006,CRISPR/CRISPRi,0.16,1,0.0,0,0,1,0,0,0,2,3400,7629
GTF2H4,2968,SNRNP200,23020,,31300006,CRISPR/CRISPRi,0.09,1,0.0,1,0,1,2,0,0,4,3400,7912
GTF2H4,2968,PPP2R1A,5518,,31300006,CRISPR/CRISPRi,0.04,1,0.0,6,0,1,1,0,0,4,3400,6449
GTF2H4,2968,ZNF830,91603,,31300006,CRISPR/CRISPRi,0.1,1,902.0,6,0,1,3,1,0,5,3400,9840
GTF2H4,2968,SKIV2L,6499,,31300006,CRISPR/CRISPRi,0.18,1,209.0,1,0,1,1,0,0,4,3400,7634
GTF2H4,2968,GTF3C3,9330,,31300006,CRISPR/CRISPRi,0.15,1,0.0,1,0,1,1,0,1,5,3400,3406
GTF2H4,2968,TCOF1,6949,,31300006,CRISPR/CRISPRi,0.16,1,0.0,0,0,1,1,0,0,3,3400,8427
GTF2H4,2968,POLN,353497,,31300006,CRISPR/CRISPRi,0.03,1,265.0,1,0,1,2,0,1,5,3400,6334
GTF2H4,2968,RPLP1,6176,,31300006,CRISPR/CRISPRi,0.02,1,0.0,3,0,1,0,0,0,3,3400,7199
GTF2H4,2968,MCM3AP,8888,,31300006,CRISPR/CRISPRi,0.03,1,0.0,0,0,1,2,0,0,3,3400,4723
GTF2H4,2968,PPCS,79717,,31300006,CRISPR/CRISPRi,0.04,1,0.0,0,0,0,1,0,0,2,3400,6392
GTF2H4,2968,PSMD12,5718,,31300006,CRISPR/CRISPRi,0.04,1,0.0,7,0,1,1,0,0,4,3400,6623
GTF2H4,2968,WDR61,80349,,31300006,CRISPR/CRISPRi,0.28,1,916.0,6,0,1,2,2,0,5,3400,9377
GTF2H4,2968,VPS72,6944,,31300006,CRISPR/CRISPRi,0.26,1,0.0,0,0,1,3,0,0,3,3400,9318
GTF2H4,2968,MRPS5,64969,,31300006,CRISPR/CRISPRi,0.14,1,0.0,0,0,0,0,0,0,0,3400,5025
GTF2H4,2968,SSB,6741,,31300006,CRISPR/CRISPRi,0.02,1,0.0,1,0,1,1,0,0,4,3400,8102
GTF2H4,2968,RPP30,10556,,31300006,CRISPR/CRISPRi,0.08,1,0.0,1,0,1,2,0,0,4,3400,7206
GTF2H4,2968,LONP1,9361,,31300006,CRISPR/CRISPRi,0.12,1,0.0,0,0,1,1,0,0,3,3400,4453
GTF2H4,2968,MED17,9440,,31300006,CRISPR/CRISPRi,0.2,1,158.0,3,0,1,2,1,1,6,3400,4759
GTF2H4,2968,TAZ,6901,,31300006,CRISPR/CRISPRi,0.0,1,0.0,0,0,0,0,0,0,0,3400,8362
GTF2H4,2968,WARS2,10352,,31300006,CRISPR/CRISPRi,0.05,1,0.0,0,0,0,0,0,0,0,3400,9343
GTF2H4,2968,PSMB7,5695,,31300006,CRISPR/CRISPRi,0.1,1,179.0,7,0,1,2,0,0,4,3400,6610
GTF2H4,2968,TRRAP,8295,,31300006,CRISPR/CRISPRi,0.11,1,201.0,0,0,1,2,1,1,5,3400,8934
GTF2H4,2968,INTS5,80789,,31300006,CRISPR/CRISPRi,0.49,1,0.0,2,0,1,2,0,0,4,3400,3919
GTF2H4,2968,TTC4,7268,,31300006,CRISPR/CRISPRi,0.27,1,0.0,0,0,1,2,0,0,3,3400,8992
GTF2H4,2968,SNIP1,79753,,31300006,CRISPR/CRISPRi,0.03,1,0.0,0,0,1,2,0,0,3,3400,7910
GTF2H4,2968,METAP2,10988,,31300006,CRISPR/CRISPRi,0.01,1,0.0,0,0,1,0,0,0,2,3400,4796
GTF2H4,2968,MARS1,4141,,31300006,CRISPR/CRISPRi,0.21,1,0.0,0,0,0,0,0,0,0,3400,4680
GTF2H4,2968,SRP19,6728,,31300006,CRISPR/CRISPRi,0.0,1,0.0,0,0,1,0,0,0,2,3400,8078
GTF2H4,2968,MRPL50,54534,,31300006,CRISPR/CRISPRi,0.06,1,0.0,0,0,0,0,0,0,0,3400,4997
GTF2H4,2968,GTPBP4,23560,,31300006,CRISPR/CRISPRi,0.02,1,0.0,0,0,1,2,0,0,3,3400,3412
CTSA,5476,GNS,2799,,25171417,Daisy,0.2,1,937.0,6,0,0,4,1,1,5,1840,3238
CTSA,5476,MYC,4609,,22157079,GenomeRNAi,0.503,1,0.0,4,0,0,0,0,0,1,1840,5125
CTSA,5476,NEU1,4758,,25171417,computer analysis,0.3,1,987.0,18,1,0,6,2,1,6,1840,5342
ABCA7,10347,HCN1,348980,,29959327,ISLE,0.3,1,0.0,0,0,0,1,0,0,2,19,3488
KRAS,65264,UBE2Z,3845,,19490893,Text Mining,0.6,1,175.0,1,0,1,1,0,0,4,4255,9110
ERBB2,2064,HMGA1,3159,,31300006,CRISPR/CRISPRi,0.06,1,0.0,1,0,1,2,0,0,4,2574,3589
ERBB2,2064,PGAP3,93210,,25171417,Daisy,0.2,1,886.0,0,0,1,1,0,0,3,2574,6046
ERBB2,2064,PIK3CB,5291,,28319085,CRISPR/CRISPRi,0.68,1,945.0,19,0,2,3,4,17,6,2574,6139
ERBB2,2064,MEMO1,51072,,22412880,Text Mining,0.1775,1,968.0,4,1,1,2,2,0,6,2574,4784
ERBB2,2064,KDR,3791,,30682083,chemical library screen,0.4,1,461.0,4,0,6,5,8,7,6,2574,4130
ERBB2,2064,GPX1,2876,,28319085,CRISPR/CRISPRi,0.68,1,185.0,0,0,0,1,1,0,3,2574,3324
ERBB2,2064,PDGFA,5154,,30682083,chemical library screen,0.4,1,745.0,0,0,2,0,6,8,4,2574,5965
ERBB2,2064,LCK,3932,,28319085,CRISPR/CRISPRi,0.68,1,214.0,12,0,6,2,4,1,6,2574,4346
ERBB2,2064,SRC,6714,,28319113,CRISPR screen,0.65,1,961.0,23,0,4,4,8,9,6,2574,8062
ERBB2,2064,PGR,5241,,24928852,Text Mining,0.1775,1,954.0,5,0,2,1,2,1,6,2574,6065
ERBB2,2064,MYC,4609,,22430491,Text Mining,0.1775,1,0.0,11,0,1,1,4,11,6,2574,5125
ERBB2,2064,RRM2,6241,,28319113,CRISPR screen,0.65,1,385.0,3,0,1,1,0,0,4,2574,7264
ERBB2,2064,FGFR2,2263,,30682083,chemical library screen,0.4,1,425.0,2,0,4,5,12,9,6,2574,2885
ERBB2,2064,PRKDC,5591,,28319085,CRISPR/CRISPRi,0.68,1,357.0,1,0,2,2,3,1,6,2574,6526
ERBB2,2064,NT5M,56953,,28319085,CRISPR/CRISPRi,0.68,1,195.0,0,0,0,0,0,0,0,2574,5553
ERBB2,2064,UCK2,7371,,28319085,CRISPR/CRISPRi,0.68,1,0.0,0,0,2,1,0,0,3,2574,9143
ERBB2,2064,SPHK1,8877,,30682083,chemical library screen,0.4,1,306.0,2,0,2,3,3,1,6,2574,8022
ERBB2,2064,GRB7,2886,,25171417,Daisy,0.2,1,991.0,7,0,2,2,1,0,5,2574,3338
ERBB2,2064,TK1,7083,,28319085,CRISPR/CRISPRi,0.68,1,325.0,0,0,3,1,0,0,3,2574,8550
ERBB2,2064,PRKCZ,5590,,28319085,CRISPR/CRISPRi,0.68,1,162.0,2,0,2,4,4,2,6,2574,6522
ERBB2,2064,PFKFB4,5210,,28319085,CRISPR/CRISPRi,0.68,1,0.0,0,0,2,1,0,0,3,2574,6035
ERBB2,2064,PIK3C2B,5287,,28319085,CRISPR/CRISPRi,0.68,1,508.0,0,1,2,2,1,0,5,2574,6136
ERBB2,2064,PARP2,10038,,30682083,chemical library screen,0.4,1,295.0,0,0,1,0,0,0,2,2574,5841
ERBB2,2064,GRB2,2885,,31300006,CRISPR/CRISPRi,0.06,1,995.0,2,0,3,3,3,14,6,2574,3337
ERBB2,2064,PARP1,142,,30682083,chemical library screen,0.4,1,519.0,5,0,2,1,0,0,4,2574,5836
ERBB2,2064,PLCG1,5335,,22412880,Text Mining,0.1775,1,967.0,16,0,1,2,2,8,6,2574,6216
ERBB2,2064,ESR1,2099,,30314968,textmining,0.2,1,947.0,15,0,2,4,3,4,6,2574,2613
ERBB2,2064,FGFR3,2261,,28319085,CRISPR/CRISPRi,0.68,1,418.0,2,0,5,3,9,9,6,2574,2886
ERBB2,2064,TPD52L1,7164,,25171417,computer analysis,0.3,1,0.0,0,0,2,1,1,0,4,2574,8803
ERBB2,2064,TP53,7157,,23728082,computer analysis,0.3,1,945.0,8,0,5,2,1,15,6,2574,8792
ERBB2,2064,TOP1,7150,,28319113,CRISPR screen,0.65,1,515.0,0,0,2,1,0,0,3,2574,8779
ERBB2,2064,PIK3CA,5290,,23532334,Text Mining,0.1775,1,986.0,24,0,2,3,4,17,6,2574,6138
ERBB2,2064,FASN,2194,,17168665,Text Mining,0.1775,1,792.0,1,0,2,2,0,1,5,2574,2777
BCL2,2064,ERBB2,596,,30682083,chemical library screen,0.4,1,250.0,3,0,3,3,2,10,6,754,2574
ERBB2,2064,VEGFA,7422,,30682083,chemical library screen,0.4,1,0.0,9,0,2,0,6,10,5,2574,9272
ERBB2,2064,FABP4,2167,,28319085,CRISPR/CRISPRi,0.68,1,0.0,1,0,0,2,0,0,3,2574,2689
ERBB2,2064,MAPK1,5594,,23532334,Text Mining,0.1775,1,436.0,20,0,3,4,6,22,6,2574,4647
ERBB2,2064,PDGFB,5155,,30682083,chemical library screen,0.4,1,813.0,16,0,3,1,9,8,6,2574,5966
ERBB2,2064,SLC16A5,9121,,25171417,Daisy,0.2,1,0.0,0,0,1,2,0,0,3,2574,7661
ABL1,2064,ERBB2,25,,30682083,chemical library screen,0.4,1,483.0,9,0,4,3,5,4,6,51,2574
ERBB2,2064,FGFR1,2260,,30682083,chemical library screen,0.4,1,415.0,2,0,5,6,11,10,6,2574,2884
JUN,3725,SMAD6,4091,,19047146,Text Mining,0.1775,1,379.0,4,0,6,4,6,0,5,4028,7851
JUN,3725,TP53,7157,,23728082,computer analysis,0.3,1,991.0,20,0,12,5,12,18,6,4028,8792
JUN,3725,SMAD3,4088,,23500081,Text Mining,0.1775,1,986.0,10,2,11,5,8,8,7,4028,7848
JUN,3725,NR1D1,9572,,23505488,Text Mining,0.1775,1,162.0,3,0,6,3,5,1,6,4028,5498
JUN,3725,NAE1,8883,,23100467,GenomeRNAi,0.644,1,0.0,0,0,2,1,0,0,3,4028,5202
JUN,3725,PARP1,142,,24847381;23500081,Text Mining,0.273125,1,655.0,6,0,7,3,4,1,6,4028,5836
JUN,3725,RBM45,129831,,19047146,Text Mining,0.1775,1,0.0,0,0,2,2,0,0,3,4028,6920
JUN,3725,PRKDC,5591,,23505488,Text Mining,0.1775,1,577.0,2,0,4,4,3,0,5,4028,6526
JUN,3725,SNX7,51375,,25171417,Daisy,0.2,1,0.0,0,0,1,0,0,0,2,4028,7948
JUN,3725,MAPK8,5599,,16287090;24847381;23500081;23566222,Text Mining,0.48678125,1,999.0,37,0,2,3,5,40,6,4028,4658
JUN,3725,MAPK1,5594,,23566222,Text Mining,0.1775,1,996.0,46,0,3,3,6,40,6,4028,4647
BCL2,3725,JUN,596,,30682083,chemical library screen,0.4,1,265.0,8,0,3,3,7,16,6,754,4028
JUN,3725,VAV3,10451,,23566222,Text Mining,0.1775,1,229.0,9,0,2,1,5,5,6,4028,9263
JUN,3725,VAV1,7409,,23566222,Text Mining,0.1775,1,620.0,12,0,1,1,3,5,6,4028,9262
JUN,3725,MYC,4609,,24847381,Text Mining,0.1775,1,0.0,15,0,9,3,6,12,6,4028,5125
GTF2H5,404672,KIT,3815,,20609354,GenomeRNAi,0.515,1,0.0,4,0,1,0,0,0,3,3401,4186
GTF2H5,404672,PDGFRA,5156,,20609354,GenomeRNAi,0.515,1,0.0,1,0,1,1,0,0,4,3401,5968
GTF2H5,404672,SLC22A1,6580,,20609354,GenomeRNAi,0.515,1,0.0,0,0,1,0,0,0,2,3401,7675
GTF2H5,404672,PDGFRB,5159,,20609354,GenomeRNAi,0.515,1,0.0,1,0,1,0,0,0,3,3401,5969
GTF2H5,404672,SLC22A2,6582,,20609354,GenomeRNAi,0.515,1,0.0,0,0,0,0,0,0,0,3401,7679
GTF2H5,404672,NAE1,8883,,23100467,GenomeRNAi,0.5,1,177.0,0,0,1,0,0,0,2,3401,5202
GTF2H5,404672,NTRK1,4914,,20609354,GenomeRNAi,0.515,1,0.0,0,0,1,0,0,0,2,3401,5560
GTF2H5,404672,RET,5979,,20609354,GenomeRNAi,0.515,1,0.0,0,0,1,0,0,0,2,3401,6973
GTF2H5,404672,PTGS1,5742,,20609354,GenomeRNAi,0.515,1,0.0,0,0,1,0,0,0,2,3401,6666
GTF2H5,404672,ORM1,5004,,20609354,GenomeRNAi,0.515,1,0.0,0,0,1,0,0,0,2,3401,5724
MRAP2,112609,MYC,4609,,22157079,GenomeRNAi,0.551,1,0.0,0,0,1,0,1,0,3,4944,5125
ARHGAP11A,55388,MCM10,9824,,25171417,computer analysis,0.3,1,598.0,0,0,0,0,0,0,0,472,4720
MCM10,55388,MCM3,4172,,25171417,Daisy,0.2,1,999.0,10,0,3,3,3,1,6,4720,4722
CCNB2,55388,MCM10,9133,,25171417,computer analysis,0.3,1,836.0,4,0,1,1,0,1,5,1176,4720
MCM10,55388,SMC2,10592,,25171417,computer analysis,0.3,1,609.0,2,0,1,3,0,0,4,4720,7867
MCM10,55388,TRA2B,6434,,25171417,Daisy,0.2,1,0.0,0,0,2,2,0,0,3,4720,8823
CTCF,55388,MCM10,10664,,25171417,computer analysis,0.3,1,0.0,0,0,1,3,0,0,3,1822,4720
MCM10,55388,RAD51,5888,,25171417,computer analysis,0.3,1,861.0,1,0,4,2,1,0,5,4720,6803
FANCG,55388,MCM10,2189,,25171417,computer analysis,0.3,1,188.0,0,0,1,2,1,0,4,2766,4720
CREB1,79694,MANEA,1385,,25171417,computer analysis,0.3,1,0.0,0,0,0,0,0,0,0,1746,4611
HNRNPA2B1,79694,MANEA,3181,,25171417,computer analysis,0.3,1,0.0,0,0,0,0,0,0,0,3608,4611
MYBPC1,4604,MYC,4609,,22157079,GenomeRNAi,0.551,1,0.0,0,0,1,0,0,0,2,5122,5125
GTF2A1L,11036,NRAS,4893,,19490893,GenomeRNAi,0.494,1,0.0,0,0,1,0,0,1,3,3392,5515
GTF2A1L,11036,KRAS,3845,,19490893,GenomeRNAi,0.494,1,0.0,0,0,1,1,0,1,4,3392,4255
GTF2A1L,11036,HRAS,3265,,19490893,GenomeRNAi,0.494,1,0.0,0,0,1,1,0,1,4,3392,3671
PARP1,25788,RAD54B,142,,27902462,textmining,0.2,1,405.0,0,0,2,1,1,1,5,5836,6810
GPI,2821,LCK,3932,,28319085,CRISPR/CRISPRi,0.68,1,0.0,2,0,1,3,0,0,4,3272,4346
GPI,2821,MAPK12,6300,,31300006,CRISPR/CRISPRi,0.16,1,0.0,2,0,1,2,1,0,5,3272,4650
GPI,2821,MAP2K2,5605,,28319085,CRISPR/CRISPRi,0.68,1,0.0,1,0,1,2,0,0,4,3272,4621
GPI,2821,STMN1,3925,,28319085,CRISPR/CRISPRi,0.68,1,0.0,0,0,1,3,1,0,4,3272,8189
GPI,2821,PRKCZ,5590,,28319085,CRISPR/CRISPRi,0.68,1,0.0,0,0,1,4,1,0,4,3272,6522
GPI,2821,NDUFB1,4707,,28319085,CRISPR/CRISPRi,0.68,1,0.0,1,0,0,0,0,0,1,3272,5289
GPI,2821,NDUFA4,4697,,28319085,CRISPR/CRISPRi,0.68,1,0.0,6,0,1,0,0,0,3,3272,5280
GPI,2821,TYK2,7297,,28319085,CRISPR/CRISPRi,0.68,1,0.0,1,0,1,3,0,0,4,3272,9054
GPI,2821,PTPRZ1,5803,,28319085,CRISPR/CRISPRi,0.68,1,0.0,1,0,1,1,0,0,4,3272,6706
GPI,2821,SRC,6714,,28319085,CRISPR/CRISPRi,0.68,1,206.0,4,0,2,3,1,0,5,3272,8062
GPI,2821,HMGA1,3159,,31300006,CRISPR/CRISPRi,0.12,1,0.0,0,0,1,2,0,0,3,3272,3589
GPI,2821,PIK3CG,5294,,28319085,CRISPR/CRISPRi,0.68,1,0.0,1,0,1,3,1,0,5,3272,6141
GPI,2821,INPP1,3628,,28319085,CRISPR/CRISPRi,0.68,1,0.0,1,0,1,1,1,0,5,3272,3898
GPI,2821,PIM1,5292,,31300006,CRISPR/CRISPRi,0.18,1,193.0,1,0,1,3,0,0,4,3272,6147
GPI,2821,PRKDC,5591,,31300006,CRISPR/CRISPRi,0.09,1,0.0,2,0,1,3,0,0,4,3272,6526
GPI,2821,PTK6,5753,,28319085,CRISPR/CRISPRi,0.68,1,0.0,0,0,1,3,0,0,3,3272,6670
GPI,2821,SKP2,6502,,31300006,CRISPR/CRISPRi,0.23,1,0.0,4,0,1,2,0,0,4,3272,7636
MARK2,2011,SLC35B4,84912,,29959327,ISLE,0.3,1,0.0,0,0,1,0,0,0,2,4677,7753
PPIP5K2,23262,SNX2,6643,,25171417,Daisy,0.2,1,0.0,0,0,0,1,0,0,2,6410,7941
